spread,rolling mean,rolling std,z-score
3.0105683781490598,-3.3681031144110527,8.539352890192497,0.7469736377666344
2.742600136967667,-3.3292528753860875,8.544814763337802,0.7105891912842296
3.621086629950071,-3.294994983044548,8.555341021056636,0.8083934463830924
6.448585102060235,-3.245130077868117,8.575422074544019,1.1304067713126291
2.674020818333389,-3.2139824778970567,8.582635716332158,0.6860367247121983
2.4461647327722744,-3.182611075740156,8.58884151110364,0.6553591425846615
2.0798133706903172,-3.1470665568084515,8.592023784285121,0.608340951878971
3.5741116541583438,-3.0841391233534354,8.582907393186382,0.7757570334263995
6.204997756001546,-3.009892429852539,8.582012185510719,1.0737447100590085
0.874264562858798,-2.9767084994705226,8.580794636353028,0.44878979459716384
-3.7441344168879027,-2.9222650515624564,8.531895382455815,-0.0963290486443916
-9.708964971619736,-2.8836201651894298,8.47863574476655,-0.8050050753322266
-3.200627718228162,-2.794287246941972,8.35483826182948,-0.04863534859108246
-0.5911914835505172,-2.7068644487463227,8.261279583069962,0.2560950690413026
-7.563816973270434,-2.6475354760524095,8.171660709860147,-0.6016257492538704
-3.448412630025615,-2.5812074279147295,8.096412110372889,-0.10710981485241437
-4.417709378550342,-2.5192275314373878,8.02169284789842,-0.23666847922385006
-6.388654705180443,-2.4630695204343036,7.944190043145783,-0.4941454274665948
-6.710215079802822,-2.421864487663077,7.894775792654874,-0.5431883950560739
-10.20351543041238,-2.395192778454184,7.856846375173121,-0.9938240203641686
-10.890673039847627,-2.3848969745356707,7.843945222719388,-1.084374740491
-1.0705553970337576,-2.3513750330247754,7.831379975017348,0.16354967324748926
1.128510993104726,-2.3172958838749227,7.827747981772082,0.4402041155391887
1.2075363410395425,-2.2936711986640774,7.829372881134773,0.4471887586475715
-6.205405461416575,-2.307695299455216,7.833216250267485,-0.4975874580033791
-5.515288171584132,-2.335813037692394,7.831957319537164,-0.405961754408492
-7.090150326106681,-2.3613023536783033,7.836954789758467,-0.6034037581291342
-4.1989673822054385,-2.3797869329876717,7.835769178096566,-0.23216360868604285
-2.4950551097958,-2.3881618342167967,7.834755973628002,-0.013643472233061081
-8.35428329722447,-2.4015762820181723,7.842091254711243,-0.7590713780115893
-12.895257913530827,-2.4141469409067136,7.856407106057206,-1.3340845034040165
-12.991766916146588,-2.423203918886563,7.86731609468502,-1.343350498450152
-10.522576628064371,-2.4181476186619437,7.861675170381303,-1.0308781314109356
-8.706369000448063,-2.406453206942779,7.850066145531548,-0.8025302814921316
-15.592778454109975,-2.4108102284090402,7.857103823443258,-1.6777133816623202
-12.984080402105405,-2.408637255720388,7.854091111589978,-1.3464884728392374
-10.00463243639615,-2.3747013415809435,7.802346555983506,-0.9779021016394003
-9.59720822648731,-2.322341115989393,7.708493221915841,-0.9437469685793988
-9.120527535717656,-2.291671568318628,7.665721528081806,-0.8908301641773586
-8.736311159268382,-2.2529918241388636,7.6080693470478975,-0.8521635436518717
-11.059528693104966,-2.2213461672471073,7.554385852233989,-1.1699405747515828
-14.944853579695035,-2.2145858044452895,7.5421761030108,-1.6878772918293283
-11.646722957121824,-2.184475101828793,7.48891469813775,-1.2635005520420717
-12.602169985082838,-2.166089137858469,7.4574374039832145,-1.3994191679906267
-15.631394631636397,-2.1836659342441904,7.483992129377906,-1.7968656921222637
-15.510207219122094,-2.2060708206341406,7.515462058387856,-1.7702353222100928
-13.409078431158207,-2.223293636552326,7.5361964440642515,-1.4842745777170077
-11.602130699756572,-2.2297664838014963,7.543574336313943,-1.2424301528835657
-10.594116821547544,-2.239342577394738,7.5526852622932195,-1.1061991800272701
-10.940745150221517,-2.249680140086831,7.562838712476125,-1.1491802669012852
-12.912666818867592,-2.3261080707225252,7.572925750705145,-1.397948309100919
-10.442604431829523,-2.3842405396814064,7.578801853761243,-1.063276761635993
-7.150582682228787,-2.442464653102375,7.558728852462484,-0.6228716654643063
-7.162833067773306,-2.493466047127589,7.546991456907546,-0.6187057514649734
-7.872753560617525,-2.557234214464389,7.52415943737954,-0.7064602219546251
-8.468333829447943,-2.594127623947798,7.5302813967591895,-0.780077914223528
-12.350200726487572,-2.6295879213280595,7.55515738408187,-1.286619498574588
-11.563377576992366,-2.622499657314427,7.545892004970601,-1.1848669333974617
-12.564023403007184,-2.642722879825376,7.565732190450538,-1.3113470412955492
-11.330553252049782,-2.6422321880153397,7.565162414320598,-1.1484645785776841
-12.926329335300096,-2.646503916406604,7.5706841889904215,-1.3578462873729176
-12.183279108348728,-2.6575855612043497,7.582629794068775,-1.2562519608428584
-12.622431758143904,-2.650954118083294,7.573137735710037,-1.3166903848904723
-10.093238406467151,-2.6223338175439688,7.53104599039908,-0.9920142033984962
-7.872646163266836,-2.6052204673330213,7.514109821697664,-0.7010046194325843
-9.581037582044303,-2.607833299436629,7.516429394178056,-0.9277283024848015
-7.64954963295861,-2.603811090764934,7.5134467590312015,-0.6715610962610034
-5.7389372702993455,-2.5819517189068697,7.496192312202266,-0.42114521878708344
-10.232737076980612,-2.5818668787399117,7.496105254952789,-1.0206460472504246
-12.313473649563775,-2.60547159202351,7.517401090098253,-1.2914040292897797
-9.525781449904002,-2.596702957862718,7.507991868310413,-0.9228937129363984
-6.6345677756892485,-2.5747433323779907,7.487950743130463,-0.5421809761550301
-4.706267212104251,-2.5522785919495075,7.4729557541329195,-0.28823783935338837
-1.360330225460416,-2.5122750960236493,7.452135804719888,0.15457915700269942
-0.08224023544485703,-2.464630683695101,7.429011387396145,0.32068741371054316
2.356350970920687,-2.4157839269100325,7.420040484591277,0.6431413558646623
